Instancia,clustering,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
A-n34-k5,VMC,34,1000,20,0.99,1136.45,1082.18,778,2788.16
A-n37-k6,VMC,37,1000,20,0.99,1306.82,1181.31,949,2660.15
A-n39-k6,VMC,39,1000,20,0.99,1278.38,1050.01,831,2940.17
A-n44-k6,VMC,44,1000,20,0.99,1492.08,1291.67,937,3168.18
A-n45-k7,VMC,45,1000,20,0.99,1486.19,1425.17,1146,3822.22
A-n48-k7,VMC,48,1000,20,0.99,1416.63,1305.89,1073,3458.2
A-n53-k7,VMC,53,1000,20,0.99,1716.51,1507.13,1010,3707.21
A-n55-k9,VMC,55,1000,20,0.99,1627.8,1461.41,1073,4043.23
A-n60-k9,VMC,60,1000,20,0.99,2010.72,1868.35,1354,4158.24
A-n65-k9,VMC,65,1000,20,0.99,1614,1480.25,1174,4655.27
A-n69-k9,VMC,69,1000,20,0.99,2112.68,1847.19,1159,4960.28
A-n80-k10,VMC,80,1000,20,0.99,2575.67,2362.64,1763,6149.35
